,avg_slope,local_height,local_relief,planar_slope,relief,flooded
0,0.155726,4.28,1.056491845411017,0.026740936084291997,4.93999,0.0
1,0.194869,3.17001,0.29335261634021492,0.03572431036248503,4.64999,0.0
2,0.103638,4.42,0.15680727023320173,0.0031865238792303523,5.51,0.0
3,0.139312,7.33,1.3867524746913915,0.042597839051242481,7.97,0.0
4,0.114304,3.7,0.38088446676576382,0.02443328779776904,5.41001,0.0
5,0.139651,3.89001,0.58128090643188557,0.021289444143758537,5.32,0.0
6,0.135786,4.36,-0.65542512884083237,0.017599349169149407,4.78,0.0
7,0.2336,3.08001,-0.5488587867703103,0.013500724506193494,6.75001,0.0
8,0.158497,1.87,-0.92783912771486854,0.0094174110159635817,3.71,0.0
9,0.199677,2.86,0.29987669579776366,0.01224418676243305,3.26999,0.0
10,0.175635,3.43,-0.29598872157571776,0.015724974445339459,3.51,0.0
11,0.184624,3.77,0.58885119961013288,0.017124186894979944,4.93,0.0
12,0.120322,2.85001,0.070039020335414648,0.02074540791829128,4.93,0.0
13,0.159268,2.97,0.15227549360612613,0.0024115552811058896,4.1,0.0
14,0.161451,3.64,0.00071711715374789264,0.0027394860352541197,3.01001,0.0
15,0.334751,2.31001,-2.4268757814751254,0.011309755121293211,6.62,0.0
16,0.124479,4.33001,0.4723637404555916,0.010583273375751455,8.02,0.0
17,0.174215,2.19,-0.10275819217662985,0.022078872822758118,4.25,0.0
18,0.202801,1.53,-1.7393776513221653,0.025781341179119534,4.42,0.0
19,0.169559,2.75,0.66490984537165332,0.036449159620565059,3.92001,0.0
20,0.18596,1.07,-1.0242660800379753,0.024779820150247971,3.85,0.0
21,0.151786,2.59,0.27660904953963694,0.0049474037417499032,6.03,0.0
22,0.143124,3.07,0.39436301493168457,0.022232325990580792,4.48,0.0
23,0.128181,2.88,0.55971574369063148,0.045375384350259146,3.84,0.0
24,0.121268,3.34,0.31282799826437468,0.029499457774496224,4.14,0.0
25,0.210212,3.52,0.85121672888605815,0.049367400396903446,3.99,0.0
26,0.221038,2.23,-0.26936869947599007,0.036953541834926044,4.07999,0.0
27,0.135954,3.50999,-0.22268941885377558,0.011178555792103546,4.15,0.0
28,0.221366,4.63,0.83281092563066039,0.012708413456093791,5.44001,0.0
29,0.175902,4.97,0.8697811307530614,0.034764648267229463,4.79,0.0
30,0.166202,6.74,0.4752094174027377,0.055545770168748447,8.49,0.0
31,0.159239,1.83,-0.85916563992528694,0.032091578750147579,4.78,0.0
32,0.215364,3.02,-0.60621677370192373,0.026818713510824158,6.42,0.0
33,0.196532,4.53,0.48925194364552738,0.022601737602873703,5.93999,0.0
34,0.174227,4.16,0.06624089470543737,0.014919359896774197,5.14,0.0
35,0.140655,2.49,0.33193785125681075,0.024585700809144091,4.37,0.0
36,0.153077,3.33,-0.094793170567889717,0.0016476136087623544,4.96,0.0
37,0.21535,2.15,-0.66222424035463945,0.0148448515799304,4.71,0.0
38,0.135733,3.32,0.11829427850808116,0.026482579120888538,4.50999,0.0
39,0.115,2.28,-0.63944284270184681,0.013520317965888826,3.8,0.0
40,0.184264,3.18999,0.37285154168515788,0.032717358168681009,5.15,0.0
41,0.222946,3.6,0.46677949228331528,0.040640054020141807,5.09,0.0
